Concept;samsung;display;galaxy;fold;smartphone;new;apple;market;devices;google;camera;update;review;presents;device;flexible;chip;share;compete;watch;iphone;top;releases;android;including;phones;technology;screen;amoled;high;refresh;rate
samsung;0;2;1;2;2;1;2;2;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
display;2;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
galaxy;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
fold;2;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
smartphone;2;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
new;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
apple;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
market;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
devices;1;0;1;0;0;0;0;0;0;1;1;1;0;0;2;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
google;1;0;0;0;0;0;0;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
camera;1;0;0;0;0;0;0;0;1;2;0;2;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
update;1;0;0;0;0;0;0;0;1;2;2;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
review;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
presents;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
device;1;1;1;0;0;1;0;0;2;1;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0
flexible;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chip;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
share;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
compete;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
watch;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
iphone;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
top;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
releases;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
android;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
including;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
phones;1;0;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
technology;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
screen;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
amoled;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1
high;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1
refresh;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1
rate;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
